WhatIsYourSex,PhysicalFighting,TelevisionWatching,ComputerUse,TV_Hours,Game_Hours,Total_Screen_Time,Fighting_Group,Sex
2.0,4.0,4.0,3.0,2.0,1.0,3.0,2_Occasional,Male
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1_None,Female
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1_None,Female
1.0,1.0,6.0,2.0,4.0,0.5,4.5,1_None,Female
1.0,1.0,4.0,2.0,2.0,0.5,2.5,1_None,Female
1.0,1.0,3.0,3.0,1.0,1.0,2.0,1_None,Female
1.0,1.0,1.0,3.0,0.0,1.0,1.0,1_None,Female
1.0,1.0,3.0,4.0,1.0,2.0,3.0,1_None,Female
1.0,1.0,2.0,2.0,0.5,0.5,1.0,1_None,Female
1.0,1.0,2.0,2.0,0.5,0.5,1.0,1_None,Female
1.0,1.0,7.0,7.0,5.0,5.0,10.0,1_None,Female
1.0,1.0,7.0,7.0,5.0,5.0,10.0,1_None,Female
2.0,3.0,4.0,2.0,2.0,0.5,2.5,2_Occasional,Male
2.0,1.0,4.0,7.0,2.0,5.0,7.0,1_None,Male
2.0,1.0,6.0,1.0,4.0,0.0,4.0,1_None,Male
2.0,1.0,4.0,2.0,2.0,0.5,2.5,1_None,Male
2.0,1.0,2.0,2.0,0.5,0.5,1.0,1_None,Male
2.0,1.0,5.0,4.0,3.0,2.0,5.0,1_None,Male
2.0,1.0,4.0,4.0,2.0,2.0,4.0,1_None,Male
2.0,1.0,7.0,7.0,5.0,5.0,10.0,1_None,Male
1.0,1.0,3.0,3.0,1.0,1.0,2.0,1_None,Female
1.0,1.0,5.0,6.0,3.0,4.0,7.0,1_None,Female
1.0,1.0,2.0,1.0,0.5,0.0,0.5,1_None,Female
1.0,2.0,5.0,3.0,3.0,1.0,4.0,2_Occasional,Female
1.0,1.0,4.0,6.0,2.0,4.0,6.0,1_None,Female
1.0,1.0,5.0,4.0,3.0,2.0,5.0,1_None,Female
1.0,1.0,2.0,6.0,0.5,4.0,4.5,1_None,Female
1.0,1.0,6.0,2.0,4.0,0.5,4.5,1_None,Female
1.0,1.0,4.0,3.0,2.0,1.0,3.0,1_None,Female
1.0,3.0,4.0,2.0,2.0,0.5,2.5,2_Occasional,Female
2.0,4.0,5.0,7.0,3.0,5.0,8.0,2_Occasional,Male
2.0,1.0,2.0,5.0,0.5,3.0,3.5,1_None,Male
2.0,3.0,4.0,1.0,2.0,0.0,2.0,2_Occasional,Male
1.0,1.0,4.0,2.0,2.0,0.5,2.5,1_None,Female
1.0,5.0,2.0,1.0,0.5,0.0,0.5,3_Frequent,Female
1.0,3.0,7.0,1.0,5.0,0.0,5.0,2_Occasional,Female
1.0,1.0,7.0,2.0,5.0,0.5,5.5,1_None,Female
1.0,2.0,4.0,4.0,2.0,2.0,4.0,2_Occasional,Female
2.0,1.0,5.0,5.0,3.0,3.0,6.0,1_None,Male
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1_None,Female
2.0,1.0,6.0,7.0,4.0,5.0,9.0,1_None,Male
2.0,1.0,4.0,2.0,2.0,0.5,2.5,1_None,Male
2.0,1.0,3.0,1.0,1.0,0.0,1.0,1_None,Male
1.0,1.0,2.0,2.0,0.5,0.5,1.0,1_None,Female
1.0,1.0,4.0,4.0,2.0,2.0,4.0,1_None,Female
1.0,1.0,3.0,2.0,1.0,0.5,1.5,1_None,Female
1.0,1.0,5.0,2.0,3.0,0.5,3.5,1_None,Female
1.0,1.0,5.0,1.0,3.0,0.0,3.0,1_None,Female
1.0,4.0,2.0,1.0,0.5,0.0,0.5,2_Occasional,Female
1.0,1.0,4.0,2.0,2.0,0.5,2.5,1_None,Female
1.0,1.0,4.0,1.0,2.0,0.0,2.0,1_None,Female
2.0,3.0,5.0,3.0,3.0,1.0,4.0,2_Occasional,Male
2.0,1.0,2.0,7.0,0.5,5.0,5.5,1_None,Male
